PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638997,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,8,0.0001,0.0,312.6037244796753,0.2601172420819943,0.24162641013648561,0.24240465764815466,920,719,Early stopping due to no improvement (AdaptiveES).,0.33978723417157713,35.74673913043478
39638998,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,8,0.0015,0.0,337.5348644256592,0.2601172420819943,0.2402301873033045,0.24227538548243022,980,779,Early stopping due to no improvement (AdaptiveES).,0.3444236597236322,35.3704081632653
39638999,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,16,0.0,0.0,271.25374245643616,0.2601172420819943,0.24171529321853916,0.24293351355387216,740,539,Early stopping due to no improvement (AdaptiveES).,0.36655971391780956,55.96081081081081
39639000,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,16,0.0001,0.0,258.98760294914246,0.2601172420819943,0.24161607415730063,0.24267951516162728,700,499,Early stopping due to no improvement (AdaptiveES).,0.3699829697608948,55.54142857142857
39639001,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,16,0.0015,0.0,272.5043451786041,0.2601172420819943,0.24184972799921553,0.2431161101536729,740,539,Early stopping due to no improvement (AdaptiveES).,0.3682497762344979,55.77162162162162
39639002,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,32,0.0,0.0,237.5112063884735,0.2601172420819943,0.24217334110896566,0.24298118826091375,540,329,Early stopping due to no improvement (AdaptiveES).,0.4398363395973488,75.13148148148149
39639003,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,32,0.0001,0.0,242.8547511100769,0.2601172420819943,0.2424014592666275,0.2433811100251507,580,379,Early stopping due to no improvement (AdaptiveES).,0.4187158864119957,76.03965517241379
39639004,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,32,0.0015,0.0,256.9386522769928,0.2601172420819943,0.24253191346288963,0.24395674295953357,620,409,Early stopping due to no improvement (AdaptiveES).,0.41441790673040574,75.52258064516128
39639005,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,64,0.0,0.0,299.6326394081116,0.2601172420819943,0.2416192115933239,0.24233321817275583,520,319,Early stopping due to no improvement (AdaptiveES).,0.576217432663991,86.37115384615385
39639006,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,64,0.0001,0.0,296.4899160861969,0.2601172420819943,0.24176817016771804,0.24196168303317137,510,309,Early stopping due to no improvement (AdaptiveES).,0.5813535414490045,85.90196078431373
39639007,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,64,0.0015,0.0,374.9560101032257,0.2601172420819943,0.24155968446837198,0.24232451332599567,650,449,Early stopping due to no improvement (AdaptiveES).,0.5768560710320106,85.52
